txn_id,account_id,txn_date,amount,merchant,ingestion_timestamp,source_system
TXN009314,ACC0332,2025-01-10,107549.32,Swiggy,2026-08-08T12:43:11.935Z,transactions.csv
TXN013000,ACC0412,2025-03-17,22297.68,Zomato,2026-08-08T12:43:11.935Z,transactions.csv
TXN018018,ACC0486,2025-05-10,115208.63,Zomato,2026-08-08T12:43:11.935Z,transactions.csv
TXN013757,ACC0443,2025-07-24,45099.7,ATM_Withdrawal,2026-08-08T12:43:11.935Z,transactions.csv
TXN016494,ACC0062,2025-02-25,70884.04,Swiggy,2026-08-08T12:43:11.935Z,transactions.csv
TXN005278,ACC0012,2025-02-26,29630.42,Unknown_POS,2026-08-08T12:43:11.935Z,transactions.csv
TXN001327,ACC0009,2025-05-03,100371.89,Swiggy,2026-08-08T12:43:11.935Z,transactions.csv
TXN015333,ACC0096,2025-04-14,142083.52,Uber,2026-08-08T12:43:11.935Z,transactions.csv
TXN012891,ACC0307,2025-01-11,5800.25,Flipkart,2026-08-08T12:43:11.935Z,transactions.csv
TXN017015,ACC0170,2025-02-02,58011.24,Swiggy,2026-08-08T12:43:11.935Z,transactions.csv
TXN018814,ACC0252,2025-01-04,33202.68,Zomato,2026-08-08T12:43:11.935Z,transactions.csv
TXN011163,ACC0143,2025-01-25,149097.42,Uber,2026-08-08T12:43:11.935Z,transactions.csv
TXN018413,ACC0356,2025-05-18,115091.11,Unknown_POS,2026-08-08T12:43:11.935Z,transactions.csv
TXN007662,ACC0452,2025-01-24,143599.05,Unknown_POS,2026-08-08T12:43:11.935Z,transactions.csv
TXN005860,ACC0002,2025-03-25,2610.54,Flipkart,2026-08-08T12:43:11.935Z,transactions.csv
TXN013629,ACC0215,2025-07-29,53443.84,Unknown_POS,2026-08-08T12:43:11.935Z,transactions.csv
TXN011688,ACC0204,2025-02-22,111164.52,Swiggy,2026-08-08T12:43:11.935Z,transactions.csv
TXN016555,ACC0037,2025-06-13,40729.69,Swiggy,2026-08-08T12:43:11.935Z,transactions.csv
TXN001265,ACC0495,2025-01-05,5604.55,Amazon,2026-08-08T12:43:11.935Z,transactions.csv
TXN016201,ACC0155,2025-03-26,12102.38,Uber,2026-08-08T12:43:11.935Z,transactions.csv
TXN018331,ACC0420,2025-07-25,146939.22,Uber,2026-08-08T12:43:11.935Z,transactions.csv
TXN017023,ACC0224,2025-02-14,70293.65,Flipkart,2026-08-08T12:43:11.935Z,transactions.csv
TXN003531,ACC0149,2025-03-19,15269.85,Swiggy,2026-08-08T12:43:11.935Z,transactions.csv
TXN003572,ACC0103,2025-07-10,138987.96,Swiggy,2026-08-08T12:43:11.935Z,transactions.csv
TXN015778,ACC0240,2025-03-22,62789.17,Amazon,2026-08-08T12:43:11.935Z,transactions.csv
TXN018743,ACC0101,2025-05-20,82977.23,Swiggy,2026-08-08T12:43:11.935Z,transactions.csv
TXN013672,ACC0292,2025-06-11,94517.92,Swiggy,2026-08-08T12:43:11.935Z,transactions.csv
TXN009916,ACC0146,2025-04-30,3398.57,Flipkart,2026-08-08T12:43:11.935Z,transactions.csv
TXN012029,ACC0284,2025-07-14,34921.85,Flipkart,2026-08-08T12:43:11.935Z,transactions.csv
TXN004969,ACC0158,2025-05-29,104848.45,BigBasket,2026-08-08T12:43:11.935Z,transactions.csv
TXN004812,ACC0364,2025-03-06,26295.68,Swiggy,2026-08-08T12:43:11.935Z,transactions.csv
TXN010070,ACC0111,2025-04-27,70932.8,Flipkart,2026-08-08T12:43:11.935Z,transactions.csv
TXN012026,ACC0472,2025-05-04,72358.69,Amazon,2026-08-08T12:43:11.935Z,transactions.csv
TXN006169,ACC0272,2025-02-04,126108.75,Zomato,2026-08-08T12:43:11.935Z,transactions.csv
TXN002956,ACC0252,2025-02-14,71043.59,Flipkart,2026-08-08T12:43:11.935Z,transactions.csv
TXN007985,ACC0004,2025-01-25,54779.14,Flipkart,2026-08-08T12:43:11.935Z,transactions.csv
TXN006374,ACC0109,2025-07-21,102407.72,Zomato,2026-08-08T12:43:11.935Z,transactions.csv
TXN004428,ACC0181,2025-07-28,91727.54,Swiggy,2026-08-08T12:43:11.935Z,transactions.csv
TXN010741,ACC0129,2025-07-05,89569.0,BigBasket,2026-08-08T12:43:11.935Z,transactions.csv
TXN009992,ACC0462,2025-01-07,24252.14,Zomato,2026-08-08T12:43:11.935Z,transactions.csv
