account_id,fraud_type,fraud_transactions,fraud_amount
ACC0072,Account Takeover,47,4410467.66
ACC0352,Phishing,57,4348221.0
ACC0233,Account Takeover,50,3670996.74
ACC0423,Account Takeover,44,3570870.0
ACC0071,Phishing,45,3549528.55
ACC0178,Card Skimming,39,3484161.03
ACC0192,Phishing,44,3468192.78
ACC0154,Identity Theft,36,3420859.93
ACC0013,Card Skimming,39,3393566.87
ACC0066,Account Takeover,40,3299823.0
ACC0078,Account Takeover,44,3200315.26
ACC0415,Identity Theft,44,3137620.78
ACC0377,Identity Theft,47,3132757.56
ACC0085,Card Skimming,36,3124222.05
ACC0375,Identity Theft,42,3112964.78
ACC0050,Card Skimming,45,3101867.61
ACC0245,Phishing,45,3092125.95
ACC0121,Account Takeover,42,3006783.45
ACC0268,Card Skimming,39,3003192.81
ACC0256,Phishing,43,2996586.11
ACC0398,Phishing,39,2937734.21
ACC0464,Account Takeover,33,2880834.74
ACC0341,Phishing,39,2857677.03
ACC0277,Phishing,38,2836816.53
ACC0067,Account Takeover,38,2759397.25
ACC0061,Identity Theft,31,2733607.55
ACC0220,Card Skimming,42,2641507.47
ACC0349,Card Skimming,32,2611072.07
ACC0116,Account Takeover,36,2605412.14
ACC0001,Phishing,40,2604126.11
ACC0331,Identity Theft,35,2563121.28
ACC0301,Card Skimming,35,2521653.81
ACC0300,Card Skimming,35,2510980.21
ACC0208,Card Skimming,38,2488424.61
ACC0010,Phishing,31,2449603.6
ACC0394,Phishing,33,2445952.99
ACC0469,Account Takeover,34,2363007.97
ACC0447,Account Takeover,35,2290982.49
ACC0280,Account Takeover,29,2283134.54
ACC0344,Card Skimming,30,2113500.21
ACC0429,Phishing,36,2103658.89
ACC0435,Account Takeover,34,2097350.41
ACC0400,Identity Theft,24,1794983.21
