txn_id,account_id,amount,merchant,txn_date,fraud_type,flagged_date,fraud_flag,risk_level
TXN000001,ACC0065,45458.55,Flipkart,2025-06-10,,,normal,Low
TXN000002,ACC0258,25336.95,Swiggy,2025-06-14,,,normal,Low
TXN000003,ACC0088,93690.65,BigBasket,2025-06-18,,,normal,Low
TXN000004,ACC0432,6227.09,Amazon,2025-05-25,,,normal,Low
TXN000005,ACC0042,142284.6,Uber,2025-01-12,,,normal,High
TXN000006,ACC0334,115055.5,Unknown_POS,2025-02-23,,,normal,High
TXN000007,ACC0317,4591.37,Uber,2025-06-13,,,normal,Low
TXN000008,ACC0329,72467.58,Unknown_POS,2025-03-19,,,normal,Low
TXN000009,ACC0153,10992.31,Amazon,2025-04-27,,,normal,Low
TXN000010,ACC0081,62372.48,ATM_Withdrawal,2025-04-23,,,normal,Low
TXN000011,ACC0105,91018.71,BigBasket,2025-03-29,,,normal,Low
TXN000012,ACC0442,47931.49,BigBasket,2025-07-03,,,normal,Low
TXN000013,ACC0500,19658.38,BigBasket,2025-04-13,,,normal,Low
TXN000014,ACC0264,15972.28,Zomato,2025-05-24,,,normal,Low
TXN000015,ACC0239,40157.38,Zomato,2025-02-01,,,normal,Low
TXN000016,ACC0073,7638.26,Unknown_POS,2025-01-25,,,normal,Low
TXN000017,ACC0443,62749.3,Swiggy,2025-06-07,,,normal,Low
TXN000018,ACC0417,140066.04,BigBasket,2025-03-25,,,normal,High
TXN000019,ACC0098,23943.39,ATM_Withdrawal,2025-07-15,,,normal,Low
TXN000020,ACC0256,74630.67,Flipkart,2025-03-20,Phishing,2025-02-10,fraud,High
TXN000021,ACC0484,75841.4,Zomato,2025-04-11,,,normal,Low
TXN000022,ACC0111,52966.62,Amazon,2025-05-30,,,normal,Low
TXN000023,ACC0145,89647.94,ATM_Withdrawal,2025-05-07,,,normal,Low
TXN000024,ACC0147,1276.2,Flipkart,2025-05-18,,,normal,Low
TXN000025,ACC0221,132374.24,BigBasket,2025-02-04,,,normal,High
TXN000026,ACC0392,54922.31,Unknown_POS,2025-04-14,,,normal,Low
TXN000027,ACC0027,84294.44,BigBasket,2025-05-26,,,normal,Low
TXN000028,ACC0284,11076.09,ATM_Withdrawal,2025-03-15,,,normal,Low
TXN000029,ACC0392,41994.12,Flipkart,2025-05-21,,,normal,Low
TXN000030,ACC0066,59115.86,BigBasket,2025-01-25,Account Takeover,2025-02-26,fraud,High
TXN000031,ACC0286,113257.03,Zomato,2025-04-04,,,normal,High
TXN000032,ACC0309,60237.99,Amazon,2025-05-11,,,normal,Low
TXN000033,ACC0024,20598.6,BigBasket,2025-01-10,,,normal,Low
TXN000034,ACC0412,77923.94,Swiggy,2025-05-02,,,normal,Low
TXN000035,ACC0311,21010.16,BigBasket,2025-05-12,,,normal,Low
TXN000036,ACC0084,148592.83,Uber,2025-04-11,,,normal,High
TXN000037,ACC0304,76121.88,ATM_Withdrawal,2025-03-28,,,normal,Low
TXN000038,ACC0363,45003.6,Amazon,2025-05-25,,,normal,Low
TXN000039,ACC0189,101087.27,Unknown_POS,2025-03-26,,,normal,High
TXN000040,ACC0299,119523.38,Amazon,2025-03-20,,,normal,High
TXN000041,ACC0306,39866.29,Zomato,2025-05-02,,,normal,Low
TXN000042,ACC0370,87549.32,Swiggy,2025-01-14,,,normal,Low
TXN000043,ACC0269,108191.37,Unknown_POS,2025-06-11,,,normal,High
TXN000044,ACC0076,102125.0,Amazon,2025-07-30,,,normal,High
TXN000045,ACC0294,16528.83,Amazon,2025-06-29,,,normal,Low
TXN000046,ACC0226,62846.11,Unknown_POS,2025-03-22,,,normal,Low
TXN000047,ACC0354,61586.09,ATM_Withdrawal,2025-02-22,,,normal,Low
TXN000048,ACC0447,109123.94,Swiggy,2025-07-08,Account Takeover,2025-02-13,fraud,Critical
TXN000049,ACC0266,84154.97,ATM_Withdrawal,2025-02-23,,,normal,Low
TXN000050,ACC0270,47097.2,Swiggy,2025-04-07,,,normal,Low
TXN000051,ACC0236,51381.94,BigBasket,2025-05-17,,,normal,Low
TXN000052,ACC0347,130154.78,Uber,2025-07-17,,,normal,High
TXN000053,ACC0313,28880.01,Zomato,2025-05-04,,,normal,Low
TXN000054,ACC0143,44809.95,Uber,2025-05-23,,,normal,Low
TXN000055,ACC0395,105749.9,ATM_Withdrawal,2025-03-15,,,normal,High
