account_id,customer_name,account_type,credit_limit,branch
ACC0059,Customer_59,Salary,500000,Pune
ACC0139,Customer_139,Current,100000,Delhi
ACC0182,Customer_182,Salary,200000,Pune
ACC0302,Customer_302,Savings,500000,Mumbai
ACC0254,Customer_254,Savings,200000,Delhi
ACC0255,Customer_255,Current,100000,Bangalore
ACC0007,Customer_7,Salary,50000,Pune
ACC0325,Customer_325,Current,500000,Bangalore
ACC0105,Customer_105,Current,50000,Mumbai
ACC0221,Customer_221,Salary,100000,Mumbai
ACC0212,Customer_212,Savings,100000,Delhi
ACC0288,Customer_288,Salary,500000,Bangalore
ACC0214,Customer_214,Salary,100000,Chennai
ACC0157,Customer_157,Savings,100000,Chennai
ACC0280,Customer_280,Salary,500000,Mumbai
ACC0362,Customer_362,Current,200000,Bangalore
ACC0251,Customer_251,Savings,100000,Delhi
ACC0399,Customer_399,Current,50000,Bangalore
ACC0465,Customer_465,Salary,500000,Chennai
ACC0056,Customer_56,Salary,50000,Mumbai
ACC0126,Customer_126,Savings,200000,Pune
ACC0499,Customer_499,Salary,200000,Bangalore
ACC0143,Customer_143,Current,200000,Mumbai
ACC0497,Customer_497,Salary,500000,Chennai
ACC0019,Customer_19,Savings,100000,Bangalore
ACC0300,Customer_300,Current,500000,Chennai
ACC0380,Customer_380,Current,50000,Chennai
ACC0267,Customer_267,Savings,50000,Pune
ACC0484,Customer_484,Current,100000,Pune
ACC0295,Customer_295,Current,500000,Bangalore
ACC0478,Customer_478,Salary,200000,Mumbai
ACC0393,Customer_393,Current,200000,Pune
ACC0373,Customer_373,Savings,100000,Delhi
ACC0185,Customer_185,Savings,200000,Bangalore
ACC0400,Customer_400,Salary,200000,Mumbai
ACC0462,Customer_462,Savings,100000,Pune
ACC0178,Customer_178,Salary,200000,Chennai
ACC0046,Customer_46,Savings,200000,Chennai
ACC0318,Customer_318,Current,500000,Delhi
ACC0250,Customer_250,Savings,100000,Bangalore
ACC0461,Customer_461,Salary,50000,Mumbai
ACC0088,Customer_88,Current,50000,Delhi
ACC0451,Customer_451,Salary,200000,Mumbai
ACC0440,Customer_440,Salary,50000,Pune
ACC0153,Customer_153,Salary,200000,Mumbai
ACC0117,Customer_117,Savings,200000,Pune
ACC0236,Customer_236,Savings,500000,Delhi
ACC0370,Customer_370,Current,50000,Pune
ACC0060,Customer_60,Savings,200000,Pune
ACC0054,Customer_54,Savings,200000,Bangalore
ACC0490,Customer_490,Current,100000,Mumbai
ACC0055,Customer_55,Savings,50000,Delhi
ACC0101,Customer_101,Salary,200000,Bangalore
ACC0204,Customer_204,Current,500000,Bangalore
ACC0229,Customer_229,Savings,200000,Pune
ACC0002,Customer_2,Salary,200000,Delhi
ACC0403,Customer_403,Salary,100000,Pune
ACC0061,Customer_61,Salary,500000,Delhi
ACC0349,Customer_349,Salary,500000,Pune
ACC0138,Customer_138,Savings,500000,Bangalore
ACC0433,Customer_433,Current,500000,Chennai
ACC0376,Customer_376,Current,500000,Bangalore
ACC0238,Customer_238,Current,200000,Pune
ACC0498,Customer_498,Salary,500000,Pune
ACC0160,Customer_160,Salary,50000,Bangalore
ACC0275,Customer_275,Savings,100000,Pune
ACC0361,Customer_361,Savings,500000,Pune
ACC0039,Customer_39,Current,50000,Mumbai
ACC0495,Customer_495,Savings,100000,Pune
ACC0321,Customer_321,Current,500000,Bangalore
ACC0136,Customer_136,Savings,50000,Chennai
ACC0125,Customer_125,Salary,100000,Pune
ACC0205,Customer_205,Savings,500000,Bangalore
ACC0195,Customer_195,Current,100000,Chennai
ACC0190,Customer_190,Current,500000,Chennai
ACC0144,Customer_144,Savings,200000,Delhi
ACC0389,Customer_389,Savings,100000,Mumbai
ACC0333,Customer_333,Salary,200000,Mumbai
ACC0108,Customer_108,Current,100000,Bangalore
ACC0106,Customer_106,Current,50000,Mumbai
ACC0500,Customer_500,Savings,500000,Mumbai
ACC0026,Customer_26,Salary,100000,Delhi
ACC0442,Customer_442,Current,200000,Chennai
ACC0323,Customer_323,Current,200000,Pune
ACC0481,Customer_481,Current,500000,Pune
ACC0301,Customer_301,Current,500000,Pune
ACC0436,Customer_436,Current,100000,Chennai
ACC0222,Customer_222,Salary,200000,Pune
ACC0425,Customer_425,Savings,200000,Pune
ACC0016,Customer_16,Savings,500000,Mumbai
ACC0283,Customer_283,Savings,100000,Delhi
ACC0234,Customer_234,Salary,500000,Bangalore
ACC0402,Customer_402,Savings,500000,Mumbai
ACC0316,Customer_316,Salary,200000,Pune
ACC0024,Customer_24,Salary,200000,Mumbai
ACC0218,Customer_218,Savings,200000,Pune
ACC0004,Customer_4,Salary,50000,Pune
ACC0319,Customer_319,Current,100000,Chennai
ACC0248,Customer_248,Salary,500000,Bangalore
ACC0036,Customer_36,Salary,200000,Pune
ACC0341,Customer_341,Savings,50000,Delhi
ACC0131,Customer_131,Current,500000,Pune
ACC0290,Customer_290,Savings,50000,Chennai
ACC0342,Customer_342,Salary,200000,Delhi
ACC0391,Customer_391,Savings,50000,Delhi
ACC0223,Customer_223,Savings,50000,Bangalore
ACC0177,Customer_177,Current,100000,Chennai
ACC0001,Customer_1,Savings,100000,Mumbai
ACC0098,Customer_98,Current,50000,Pune
ACC0262,Customer_262,Savings,200000,Chennai
