txn_id,account_id,txn_date,amount,merchant
TXN009314,ACC0332,2025-01-10,107549.32,Swiggy
TXN013000,ACC0412,2025-03-17,22297.68,Zomato
TXN018018,ACC0486,2025-05-10,115208.63,Zomato
TXN013757,ACC0443,2025-07-24,45099.7,ATM_Withdrawal
TXN016494,ACC0062,2025-02-25,70884.04,Swiggy
TXN005278,ACC0012,2025-02-26,29630.42,Unknown_POS
TXN001327,ACC0009,2025-05-03,100371.89,Swiggy
TXN015333,ACC0096,2025-04-14,142083.52,Uber
TXN012891,ACC0307,2025-01-11,5800.25,Flipkart
TXN017015,ACC0170,2025-02-02,58011.24,Swiggy
TXN018814,ACC0252,2025-01-04,33202.68,Zomato
TXN011163,ACC0143,2025-01-25,149097.42,Uber
TXN018413,ACC0356,2025-05-18,115091.11,Unknown_POS
TXN007662,ACC0452,2025-01-24,143599.05,Unknown_POS
TXN005860,ACC0002,2025-03-25,2610.54,Flipkart
TXN013629,ACC0215,2025-07-29,53443.84,Unknown_POS
TXN011688,ACC0204,2025-02-22,111164.52,Swiggy
TXN016555,ACC0037,2025-06-13,40729.69,Swiggy
TXN001265,ACC0495,2025-01-05,5604.55,Amazon
TXN016201,ACC0155,2025-03-26,12102.38,Uber
TXN018331,ACC0420,2025-07-25,146939.22,Uber
TXN017023,ACC0224,2025-02-14,70293.65,Flipkart
TXN003531,ACC0149,2025-03-19,15269.85,Swiggy
TXN003572,ACC0103,2025-07-10,138987.96,Swiggy
TXN015778,ACC0240,2025-03-22,62789.17,Amazon
TXN018743,ACC0101,2025-05-20,82977.23,Swiggy
TXN013672,ACC0292,2025-06-11,94517.92,Swiggy
TXN009916,ACC0146,2025-04-30,3398.57,Flipkart
TXN012029,ACC0284,2025-07-14,34921.85,Flipkart
TXN004969,ACC0158,2025-05-29,104848.45,BigBasket
TXN004812,ACC0364,2025-03-06,26295.68,Swiggy
TXN010070,ACC0111,2025-04-27,70932.8,Flipkart
TXN012026,ACC0472,2025-05-04,72358.69,Amazon
TXN006169,ACC0272,2025-02-04,126108.75,Zomato
TXN002956,ACC0252,2025-02-14,71043.59,Flipkart
TXN007985,ACC0004,2025-01-25,54779.14,Flipkart
TXN006374,ACC0109,2025-07-21,102407.72,Zomato
TXN004428,ACC0181,2025-07-28,91727.54,Swiggy
TXN010741,ACC0129,2025-07-05,89569.0,BigBasket
TXN009992,ACC0462,2025-01-07,24252.14,Zomato
TXN001248,ACC0478,2025-01-10,99707.65,Uber
TXN009370,ACC0271,2025-02-22,114214.71,Uber
TXN006954,ACC0426,2025-01-31,3300.95,Unknown_POS
TXN003697,ACC0498,2025-04-19,111289.88,BigBasket
TXN007048,ACC0227,2025-01-22,22006.71,Amazon
TXN008897,ACC0038,2025-07-04,140404.5,ATM_Withdrawal
TXN013756,ACC0347,2025-05-24,82041.11,Amazon
TXN014527,ACC0494,2025-04-23,78389.65,Uber
TXN009503,ACC0138,2025-07-16,143274.82,Unknown_POS
TXN019931,ACC0092,2025-06-07,102853.54,BigBasket
TXN013531,ACC0255,2025-01-01,77742.16,Swiggy
TXN004199,ACC0208,2025-04-07,84472.08,Zomato
TXN019533,ACC0414,2025-01-13,21796.16,Amazon
TXN019571,ACC0379,2025-01-17,87608.86,Uber
TXN007673,ACC0108,2025-01-11,65546.6,BigBasket
TXN007166,ACC0360,2025-07-26,86153.95,BigBasket
TXN014582,ACC0162,2025-03-25,5453.24,Swiggy
TXN017692,ACC0148,2025-05-28,130862.4,Zomato
TXN005717,ACC0351,2025-02-26,37393.72,Flipkart
TXN012417,ACC0446,2025-07-04,58341.45,Flipkart
TXN008191,ACC0135,2025-01-21,42171.51,Zomato
TXN006868,ACC0109,2025-03-19,76866.95,Amazon
TXN005196,ACC0094,2025-03-01,18747.15,Amazon
TXN000378,ACC0436,2025-03-22,138909.99,Unknown_POS
TXN011137,ACC0198,2025-03-07,14149.07,Swiggy
TXN007003,ACC0141,2025-05-12,96876.65,ATM_Withdrawal
TXN016462,ACC0197,2025-03-01,81343.86,Unknown_POS
TXN014589,ACC0334,2025-07-16,20790.84,Zomato
TXN016296,ACC0313,2025-05-31,124521.75,Swiggy
TXN007099,ACC0270,2025-07-30,89298.54,Zomato
TXN011985,ACC0410,2025-06-29,129367.97,ATM_Withdrawal
TXN014943,ACC0476,2025-03-16,26517.62,BigBasket
TXN014558,ACC0029,2025-01-17,77069.42,Swiggy
TXN008669,ACC0096,2025-05-01,21646.57,ATM_Withdrawal
TXN014611,ACC0466,2025-04-15,51658.65,ATM_Withdrawal
TXN012287,ACC0327,2025-04-13,139899.78,Unknown_POS
TXN018738,ACC0380,2025-02-26,576.66,Uber
TXN002310,ACC0074,2025-06-10,89965.6,Amazon
TXN015547,ACC0288,2025-04-18,15303.55,ATM_Withdrawal
TXN004447,ACC0475,2025-01-29,137086.37,ATM_Withdrawal
TXN017202,ACC0279,2025-04-24,86037.89,Swiggy
TXN004177,ACC0266,2025-02-07,93744.77,Flipkart
TXN008285,ACC0245,2025-02-02,29536.49,Zomato
TXN007252,ACC0384,2025-03-15,94325.18,Zomato
TXN006857,ACC0228,2025-01-12,12495.0,BigBasket
TXN005974,ACC0063,2025-02-02,124756.41,Uber
TXN002747,ACC0414,2025-01-28,83016.46,Uber
TXN012693,ACC0260,2025-07-08,149310.65,Flipkart
TXN001090,ACC0363,2025-03-16,146889.69,Amazon
TXN007001,ACC0039,2025-06-25,32075.85,BigBasket
TXN011134,ACC0098,2025-07-23,133158.74,Swiggy
TXN015102,ACC0286,2025-02-11,132174.98,BigBasket
TXN018747,ACC0446,2025-05-10,88681.13,Uber
TXN014559,ACC0190,2025-06-11,101353.98,Unknown_POS
TXN000102,ACC0415,2025-01-15,68042.17,Unknown_POS
TXN019447,ACC0222,2025-05-30,2868.51,Amazon
TXN004639,ACC0053,2025-04-16,136215.96,Flipkart
TXN016685,ACC0234,2025-03-02,135216.99,Swiggy
TXN014800,ACC0159,2025-07-15,99817.38,BigBasket
TXN000695,ACC0329,2025-07-04,92771.49,Amazon
TXN007815,ACC0202,2025-07-14,113828.92,ATM_Withdrawal
TXN000878,ACC0466,2025-03-30,72273.67,Zomato
TXN007061,ACC0484,2025-02-05,147962.71,Unknown_POS
TXN001593,ACC0496,2025-05-24,6216.69,Swiggy
TXN019012,ACC0423,2025-01-14,84917.99,BigBasket
TXN007352,ACC0298,2025-06-07,67346.91,Amazon
TXN012772,ACC0468,2025-04-12,113865.64,Amazon
TXN008216,ACC0124,2025-01-23,102832.49,Amazon
