item_id,order_id,product_id,quantity,unit_price,discount_percent
ITEM000001,ORD000001,PROD0159,3,39556.37,11.3
ITEM000002,ORD000001,PROD0275,2,895.2,8.0
ITEM000003,ORD000001,PROD0280,3,11115.23,20.29
ITEM000004,ORD000001,PROD0368,1,1736.46,22.34
ITEM000005,ORD000002,PROD0272,1,1870.98,21.63
ITEM000006,ORD000003,PROD0427,2,10243.45,32.43
ITEM000007,ORD000003,PROD0046,5,12882.91,6.52
ITEM000008,ORD000003,PROD0074,5,1050.99,39.77
ITEM000009,ORD000004,PROD0057,5,764.52,19.04
ITEM000010,ORD000004,PROD0163,4,791.37,2.27
ITEM000011,ORD000005,PROD0469,1,63659.23,15.62
ITEM000012,ORD000005,PROD0290,2,3140.51,31.71
ITEM000013,ORD000006,PROD0055,2,8232.69,
ITEM000014,ORD000006,PROD0007,1,783.89,5.19
ITEM000015,ORD000006,PROD0252,2,1289.77,1.94
ITEM000016,ORD000006,PROD0015,4,262.37,0.33
ITEM000017,ORD000007,PROD0305,1,15292.33,0.44
ITEM000018,ORD000008,PROD0271,1,1001.84,1.15
ITEM000019,ORD000009,PROD0283,2,980.74,14.84
ITEM000020,ORD000010,PROD0101,2,754.9,24.93
ITEM000021,ORD000010,PROD0013,4,708.8,19.72
ITEM000022,ORD000010,PROD0159,5,42097.57,11.43
ITEM000023,ORD000011,PROD0339,2,770.43,0.65
ITEM000024,ORD000011,PROD0342,3,63975.56,11.34
ITEM000025,ORD000011,PROD0132,4,5591.0,31.77
ITEM000026,ORD000012,PROD0219,3,49593.15,9.39
ITEM000027,ORD000013,PROD0392,3,80205.33,0.42
ITEM000028,ORD000014,PROD0361,-4,12963.42,7.87
ITEM000029,ORD000014,PROD0023,1,1256.14,27.24
ITEM000030,ORD000015,PROD0329,1,21465.44,12.64
ITEM000031,ORD000015,PROD0238,3,71993.43,3.0
ITEM000032,ORD000016,PROD0149,1,7186.72,29.28
ITEM000033,ORD000016,PROD0046,4,14026.53,18.41
ITEM000034,ORD000016,PROD0349,5,17974.99,17.39
ITEM000035,ORD000017,PROD0417,2,1327.68,4.92
ITEM000036,ORD000017,PROD0437,4,76531.16,18.4
ITEM000037,ORD000017,PROD0004,1,2765.8,39.75
ITEM000038,ORD000018,PROD0385,3,974.28,25.7
ITEM000039,ORD000018,PROD0059,4,442.87,34.01
ITEM000040,ORD000018,PROD0340,2,1079.43,22.62
ITEM000041,ORD000018,PROD0136,5,2173.16,30.52
ITEM000042,ORD000019,PROD0165,2,697.52,36.74
ITEM000043,ORD000019,PROD0340,5,921.95,1.87
ITEM000044,ORD000019,PROD0070,0,979.49,16.93
ITEM000045,ORD000019,PROD0364,3,62244.3,11.88
ITEM000046,ORD000020,PROD0444,4,2816.31,3.36
ITEM000047,ORD000020,PROD0338,4,318.46,12.94
ITEM000048,ORD000021,PROD0084,-1,18986.46,28.66
ITEM000049,ORD000022,PROD0493,2,2317.75,39.72
ITEM000050,ORD000022,PROD0057,4,715.16,37.57
ITEM000051,ORD000022,PROD0346,1,347.77,11.95
ITEM000052,ORD000023,PROD0003,1,1926.59,13.4
ITEM000053,ORD000023,PROD0290,2,3636.55,32.96
ITEM000054,ORD000023,PROD0381,1,33965.93,0.74
ITEM000055,ORD000023,PROD0204,3,1150.84,16.81
ITEM000056,ORD000024,PROD0413,-2,12021.34,1.6
ITEM000057,ORD000025,PROD0389,3,14389.43,37.75
ITEM000058,ORD000025,PROD0381,1,41684.61,12.6
ITEM000059,ORD000026,PROD0048,5,37309.93,19.38
ITEM000060,ORD000026,PROD0243,5,8843.0,36.56
ITEM000061,ORD000027,PROD0271,3,897.75,11.28
ITEM000062,ORD000028,PROD0057,4,792.08,29.81
ITEM000063,ORD000028,PROD0118,2,67025.3,23.43
ITEM000064,ORD000029,PROD0315,3,1179.47,13.58
ITEM000065,ORD000030,PROD0340,4,908.22,36.77
ITEM000066,ORD000031,PROD0395,3,86840.74,33.07
ITEM000067,ORD000031,PROD0057,4,786.94,2.57
ITEM000068,ORD000032,PROD0460,4,17355.34,19.32
ITEM000069,ORD000032,PROD0247,1,62413.78,27.9
ITEM000070,ORD000033,PROD0340,3,932.42,39.18
ITEM000071,ORD000033,PROD0485,-4,73990.78,27.18
ITEM000072,ORD000034,PROD0290,4,3388.33,
ITEM000073,ORD000034,PROD0469,4,49985.79,21.72
ITEM000074,ORD000034,PROD0057,4,703.27,12.91
ITEM000075,ORD000034,PROD0349,4,17573.15,26.62
ITEM000076,ORD000035,PROD0159,3,41350.96,39.65
ITEM000077,ORD000035,PROD0219,1,46009.42,13.5
ITEM000078,ORD000035,PROD0189,2,3541.95,2.85
ITEM000079,ORD000035,PROD0118,2,60760.12,10.4
ITEM000080,ORD000036,PROD0476,2,11140.09,21.38
ITEM000081,ORD000036,PROD0228,3,11258.02,29.21
ITEM000082,ORD000036,PROD0477,1,32954.41,37.46
ITEM000083,ORD000036,PROD0089,1,19669.29,13.31
ITEM000084,ORD000037,PROD0013,3,656.07,26.72
ITEM000085,ORD000037,PROD0369,5,1391.42,33.79
ITEM000086,ORD000038,PROD0057,2,753.65,14.5
ITEM000087,ORD000038,PROD0238,1,65703.46,30.8
ITEM000088,ORD000038,PROD0219,1,57604.79,25.57
ITEM000089,ORD000038,PROD0114,3,2552.26,21.94
ITEM000090,ORD000039,PROD0002,3,4056.42,32.35
ITEM000091,ORD000039,PROD0101,5,748.65,13.28
ITEM000092,ORD000039,PROD0413,2,10361.7,9.09
ITEM000093,ORD000039,PROD0207,3,13075.71,24.39
ITEM000094,ORD000040,PROD0311,4,10145.14,27.47
ITEM000095,ORD000041,PROD0003,2,1903.99,25.66
ITEM000096,ORD000041,PROD0340,3,1115.05,9.79
ITEM000097,ORD000042,PROD0484,3,19326.45,24.91
ITEM000098,ORD000042,PROD0219,3,55179.04,33.97
ITEM000099,ORD000043,PROD0170,5,2408.27,36.59
ITEM000100,ORD000044,PROD0491,1,36058.21,11.8
