order_id,customer_id,order_date,status,region_code
ORD000001,CUST0600,2023-07-02 01:55:29,DELIVERED,EAST
ORD000002,CUST0263,2025-05-31 15:13:40,SHIPPED,EAST
ORD000003,CUST0529,2023-07-19 15:34:28,DELIVERED,SOUTH
ORD000004,CUST0865,2023-09-18 14:48:02,DELIVERED,NORTH
ORD000005,CUST0255,2022-07-11 06:00:41,PLACED,EAST
ORD000006,CUST0523,2022-01-22 15:26:12,CANCELLED,SOUTH
ORD000007,CUST0545,2025-10-18 19:23:03,DELIVERED,CENTRAL
ORD000008,CUST0840,2022-01-15 15:28:22,DELIVERED,SOUTH
ORD000009,CUST0686,17-12-2024,DELIVERED,SOUTH
ORD000010,CUST0882,2024-12-08 08:11:40,DELIVERED,SOUTH
ORD000011,CUST0953,2024-05-15 18:02:27,DELIVERED,NORTH
ORD000012,CUST0693,2025-01-09 04:17:28,DELIVERED,EAST
ORD000013,CUST0747,2025-03-10 14:19:52,DELIVERED,CENTRAL
ORD000014,CUST0038,2024-08-06 22:29:29,PLACED,NORTH
ORD000015,CUST0363,26-12-2023,CANCELLED,SOUTH
ORD000016,CUST0014,2024-06-01 17:54:53,DELIVERED,SOUTH
ORD000017,CUST0913,2022-01-15 05:39:58,SHIPPED,WEST
ORD000018,CUST0323,2024-05-27 06:37:58,SHIPPED,WEST
ORD000019,CUST0474,2022-10-14 12:52:45,PLACED,SOUTH
ORD000020,CUST0298,2022-10-01 14:21:53,DELIVERED,NORTH
ORD000021,CUST0211,2024-09-08 09:40:38,DELIVERED,WEST
ORD000022,CUST0721,2023-10-28 14:33:32,CANCELLED,WEST
ORD000023,CUST0957,2026-06-12 00:46:12,DELIVERED,NORTH
ORD000024,CUST0252,2025-10-21 12:27:25,DELIVERED,NORTH
ORD000025,CUST0306,2024-09-22 03:00:28,SHIPPED,SOUTH
ORD000026,CUST0204,2023-07-30 04:11:15,RETURNED,SOUTH
ORD000027,CUST0461,2024-08-28 03:45:08,DELIVERED,SOUTH
ORD000028,CUST0861,2025-07-12 23:06:02,PLACED,WEST
ORD000029,,2023-01-29 05:19:23,DELIVERED,NORTH
ORD000030,CUST0413,2024-12-11 11:09:26,RETURNED,SOUTH
ORD000031,CUST0516,2024-11-10 15:32:57,DELIVERED,EAST
ORD000032,CUST0941,2025-12-28 15:13:17,CANCELLED,SOUTH
ORD000033,,2022-04-17 11:42:37,DELIVERED,CENTRAL
ORD000034,CUST0203,2024-10-03 13:14:15,PLACED,NORTH
ORD000035,CUST0780,2022-09-24 12:03:32,DELIVERED,CENTRAL
ORD000036,CUST0407,2025-08-24 10:02:48,DELIVERED,NORTH
ORD000037,CUST0750,2022-09-04 01:29:39,CANCELLED,SOUTH
ORD000038,CUST0479,2022-07-22 02:43:34,DELIVERED,EAST
ORD000039,CUST0991,2023-02-18 19:25:34,PLACED,SOUTH
ORD000040,CUST0719,2026-04-05 20:24:05,CANCELLED,WEST
ORD000041,CUST0147,2024-06-12 02:27:54,DELIVERED,CENTRAL
ORD000042,CUST0184,2023-07-16 04:41:39,RETURNED,NORTH
ORD000043,CUST0705,2026-02-25 14:28:20,DELIVERED,CENTRAL
ORD000044,CUST0183,2026-03-18 18:32:32,DELIVERED,WEST
ORD000045,CUST0220,2022-01-08 05:49:31,DELIVERED,NORTH
ORD000046,CUST0800,2024-07-21 18:20:36,DELIVERED,EAST
ORD000047,CUST0319,2023-07-04 20:06:11,SHIPPED,CENTRAL
ORD000048,CUST0044,2022-10-31 10:06:46,SHIPPED,NORTH
ORD000049,CUST0263,2023-03-07 19:27:50,DELIVERED,CENTRAL
ORD000050,CUST0359,2025-12-15 19:59:54,PLACED,CENTRAL
ORD000051,CUST0985,2025-07-05 00:22:44,SHIPPED,EAST
ORD000052,CUST0971,2025-01-05 23:55:55,DELIVERED,CENTRAL
ORD000053,CUST0755,2024-02-22 23:48:18,DELIVERED,CENTRAL
ORD000054,CUST0823,2023-03-28 11:48:21,DELIVERED,WEST
ORD000055,CUST0245,2026-01-27 15:47:52,CANCELLED,NORTH
ORD000056,CUST0491,2026-07-29 06:24:43,DELIVERED,SOUTH
ORD000057,CUST0023,2022-11-30 06:28:15,DELIVERED,SOUTH
ORD000058,CUST0086,2023-05-18 16:34:00,RETURNED,NORTH
ORD000059,CUST0161,2026-03-17 00:25:45,DELIVERED,NORTH
ORD000060,CUST0017,2025-08-12 01:35:33,DELIVERED,EAST
ORD000061,CUST0659,2022-01-28 00:20:31,PLACED,EAST
ORD000062,CUST0099,2022-10-13 17:29:30,CANCELLED,SOUTH
ORD000063,CUST0515,2023-05-15 02:02:03,SHIPPED,CENTRAL
ORD000064,CUST0831,2022-07-30 19:49:47,DELIVERED,WEST
ORD000065,CUST0911,2022-02-19 08:15:10,PLACED,EAST
ORD000066,CUST0878,2024-02-27 04:05:33,RETURNED,SOUTH
ORD000067,CUST0957,2024-01-02 02:46:39,PLACED,NORTH
ORD000068,CUST0639,2022-12-31 15:36:21,DELIVERED,WEST
ORD000069,CUST0687,2023-09-10 22:44:48,DELIVERED,NORTH
ORD000070,CUST0527,2024-01-26 09:39:46,DELIVERED,NORTH
ORD000071,CUST0867,2022-11-01 23:52:44,PLACED,WEST
ORD000072,CUST0789,2024-09-06 02:27:02,DELIVERED,EAST
ORD000073,CUST0358,2022-09-19 06:37:18,DELIVERED,WEST
ORD000074,CUST0705,2024-04-27 21:54:31,DELIVERED,SOUTH
ORD000075,CUST0575,2025-01-08 19:26:02,DELIVERED,SOUTH
ORD000076,CUST0617,2024-05-13 19:11:07,DELIVERED,SOUTH
ORD000077,CUST0249,2022-01-06 07:24:04,PLACED,CENTRAL
ORD000078,CUST0160,2022-08-14 02:10:08,DELIVERED,SOUTH
ORD000079,CUST0166,2025-02-03 15:19:51,DELIVERED,NORTH
ORD000080,CUST0146,2025-11-25 05:12:33,PLACED,WEST
ORD000081,CUST0710,2025-09-19 21:10:32,DELIVERED,SOUTH
ORD000082,,2024-01-19 05:08:37,PLACED,CENTRAL
ORD000083,CUST0451,2026-04-17 06:38:30,PLACED,CENTRAL
ORD000084,CUST0323,2024-04-22 12:16:55,DELIVERED,NORTH
ORD000085,CUST0174,2025-08-08 01:10:09,SHIPPED,SOUTH
ORD000086,,2024-05-17 16:32:25,DELIVERED,CENTRAL
ORD000087,CUST0717,2024-05-17 05:42:32,PLACED,WEST
ORD000088,CUST0153,2023-03-10 14:34:41,SHIPPED,SOUTH
ORD000089,CUST0973,2025-05-24 02:48:39,DELIVERED,EAST
ORD000090,CUST0442,2024-02-19 06:00:03,DELIVERED,WEST
ORD000091,CUST0131,2022-06-09 13:12:20,DELIVERED,NORTH
ORD000092,CUST0181,2022-08-07 02:22:41,PLACED,EAST
ORD000093,CUST0216,2022-03-08 08:45:01,RETURNED,CENTRAL
ORD000094,,07-06-2026,DELIVERED,EAST
ORD000095,,2024-01-01 10:16:55,DELIVERED,EAST
ORD000096,CUST0732,2022-09-23 03:32:43,CANCELLED,CENTRAL
ORD000097,CUST0814,2022-11-04 00:51:44,DELIVERED,CENTRAL
ORD000098,CUST0040,2022-11-27 05:31:02,PLACED,NORTH
ORD000099,CUST0245,2023-03-18 23:49:09,DELIVERED,CENTRAL
ORD000100,CUST0734,2025-08-27 19:03:08,DELIVERED,SOUTH
ORD000101,CUST0394,2024-06-01 01:27:24,DELIVERED,WEST
ORD000102,CUST0998,2025-05-27 02:43:50,DELIVERED,WEST
ORD000103,CUST0017,2026-04-19 11:16:12,RETURNED,NORTH
ORD000104,CUST0489,2022-12-14 10:45:45,SHIPPED,EAST
ORD000105,CUST0085,2025-12-26 16:46:30,DELIVERED,EAST
ORD000106,CUST0477,2022-10-15 04:30:48,DELIVERED,EAST
ORD000107,CUST0439,2025-06-23 04:41:46,DELIVERED,CENTRAL
ORD000108,CUST0407,2025-10-29 15:02:38,SHIPPED,NORTH
ORD000109,CUST0671,2026-02-26 08:54:48,DELIVERED,SOUTH
ORD000110,CUST0308,2022-11-21 20:45:28,PLACED,WEST
ORD000111,CUST0688,2023-12-16 16:57:43,DELIVERED,WEST
ORD000112,CUST0200,2022-08-10 14:27:08,SHIPPED,EAST
ORD000113,CUST0379,2025-05-22 17:42:19,DELIVERED,NORTH
ORD000114,CUST0042,2022-11-15 17:06:39,SHIPPED,CENTRAL
ORD000115,,2025-05-16 13:50:44,DELIVERED,WEST
ORD000116,CUST0227,2023-03-10 00:50:07,DELIVERED,EAST
ORD000117,CUST0195,2022-10-18 02:31:17,PLACED,WEST
ORD000118,CUST0556,2025-10-03 09:26:46,PLACED,WEST
ORD000119,CUST0763,2022-12-03 07:13:51,DELIVERED,WEST
ORD000120,CUST0789,2025-11-27 15:54:10,DELIVERED,WEST
ORD000121,CUST0597,2025-05-07 07:13:45,DELIVERED,CENTRAL
ORD000122,CUST0687,12-02-2026,CANCELLED,SOUTH
ORD000123,CUST0346,2026-06-11 14:47:45,DELIVERED,WEST
ORD000124,CUST0863,2025-07-23 16:21:34,DELIVERED,NORTH
ORD000125,CUST0977,2024-05-10 19:52:56,DELIVERED,SOUTH
ORD000126,CUST0953,2025-10-23 21:00:07,DELIVERED,EAST
ORD000127,,2023-09-21 18:16:49,PLACED,WEST
ORD000128,CUST0489,2024-04-20 12:48:21,DELIVERED,CENTRAL
ORD000129,CUST0370,2022-12-27 16:42:18,SHIPPED,CENTRAL
ORD000130,CUST0466,2023-08-07 15:55:43,DELIVERED,NORTH
ORD000131,CUST0814,2022-08-01 03:15:49,DELIVERED,WEST
ORD000132,CUST0761,2025-07-01 19:49:59,DELIVERED,CENTRAL
ORD000133,CUST0688,2024-05-11 07:42:50,DELIVERED,WEST
ORD000134,CUST0863,2022-09-12 12:45:55,CANCELLED,WEST
ORD000135,CUST0671,26-05-2026,DELIVERED,SOUTH
ORD000136,CUST0283,2025-09-10 09:37:48,CANCELLED,WEST
ORD000137,CUST0007,29-04-2024,SHIPPED,EAST
ORD000138,CUST0549,2026-02-27 21:50:36,SHIPPED,CENTRAL
ORD000139,CUST0255,2024-03-12 07:00:52,DELIVERED,NORTH
ORD000140,CUST0616,2022-09-21 23:09:57,DELIVERED,WEST
ORD000141,CUST0548,2024-06-14 08:24:33,DELIVERED,CENTRAL
ORD000142,CUST0615,2024-03-13 22:50:23,DELIVERED,SOUTH
ORD000143,CUST0216,2022-07-11 00:56:00,DELIVERED,CENTRAL
ORD000144,CUST0652,2025-01-18 02:52:04,PLACED,SOUTH
ORD000145,CUST0663,2026-05-12 13:02:19,DELIVERED,SOUTH
ORD000146,CUST0565,2023-05-18 13:45:59,DELIVERED,EAST
ORD000147,CUST0166,2022-02-17 23:14:34,CANCELLED,NORTH
ORD000148,CUST0635,2022-08-08 05:09:50,CANCELLED,NORTH
ORD000149,CUST0851,2023-03-02 14:13:42,DELIVERED,WEST
ORD000150,CUST0958,2022-06-06 07:39:23,DELIVERED,EAST
ORD000151,CUST0481,2022-11-26 06:32:47,CANCELLED,CENTRAL
ORD000152,CUST0861,2022-08-29 12:28:52,DELIVERED,CENTRAL
ORD000153,CUST0008,2024-12-04 09:15:57,SHIPPED,NORTH
ORD000154,CUST0548,2026-04-08 05:32:48,DELIVERED,SOUTH
ORD000155,,2022-10-11 08:00:04,DELIVERED,SOUTH
ORD000156,CUST0518,2022-07-08 12:41:25,DELIVERED,WEST
ORD000157,CUST0525,2024-11-15 14:33:41,SHIPPED,SOUTH
ORD000158,CUST0886,2023-07-30 14:18:08,DELIVERED,CENTRAL
ORD000159,CUST0801,2026-01-18 17:45:41,DELIVERED,CENTRAL
ORD000160,CUST0823,2025-06-29 03:54:57,DELIVERED,CENTRAL
ORD000161,CUST0900,2026-08-06 02:20:23,CANCELLED,CENTRAL
ORD000162,CUST0448,2025-05-21 23:29:14,DELIVERED,WEST
ORD000163,,2023-01-04 11:44:54,SHIPPED,SOUTH
ORD000164,CUST0681,2024-02-01 05:16:50,PLACED,EAST
ORD000165,CUST0723,2023-03-14 16:56:37,DELIVERED,SOUTH
ORD000166,CUST0422,2025-05-17 07:43:30,PLACED,EAST
ORD000167,CUST0946,2026-07-12 02:43:27,DELIVERED,WEST
ORD000168,CUST0353,2023-02-08 01:48:29,DELIVERED,EAST
ORD000169,CUST0153,2022-12-17 21:53:50,DELIVERED,CENTRAL
ORD000170,,2022-02-06 23:26:06,DELIVERED,NORTH
ORD000171,CUST0298,2024-04-04 01:20:50,CANCELLED,NORTH
