product_id,product_name,category,subcategory,cost_price
PROD0001,Sofa Set,Home,Furniture,14631.59
PROD0002,Women's Kurti  ,Clothing,Women,2754.31
PROD0003,  Men's Jeans,Clothing,Men,1374.83
PROD0004,Wall Art  ,Home,Decor,1895.68
PROD0005,Men's T-Shirt,Clothing,Men,908.71
PROD0006,AI Fundamentals,Books,Technology,104.18
PROD0007,Fantasy Epic,Books,Fiction,527.14
PROD0008,Python Programming Guide,Books,Technology,104.92
PROD0009,Table Lamp  ,Home,Decor,967.7
PROD0010,Study Table,Home,Furniture,10054.9
PROD0011,non-stick pan,Home,Kitchen,14906.97
PROD0012,Leather Sandals,Clothing,Footwear,2136.24
PROD0013,Women's Blouse,Clothing,Women,460.75
PROD0014,Cutlery Set,Home,Kitchen,12330.93
PROD0015,School Atlas  ,Books,Education,208.82
PROD0016,Pressure Cooker,Home,Kitchen,10483.07
PROD0017,Smartphone X,Electronics,Mobile,41474.93
PROD0018,Cutlery Set,Home,Kitchen,14926.11
PROD0019,Sofa Set,Home,Furniture,9533.09
PROD0020,Fantasy Epic,Books,Fiction,980.33
PROD0021,Smartphone X,Electronics,Mobile,47905.59
PROD0022,Formal Shoes,Clothing,Footwear,1134.62
PROD0023,Men's Jeans,Clothing,Men,912.37
PROD0024,Bluetooth Headset,Electronics,Headphones,19773.47
PROD0025,Pixel Phone,Electronics,Mobile,43601.6
PROD0026,Gaming Laptop,Electronics,Laptop,20607.24
PROD0027,Python Programming Guide,Books,Technology,532.35
PROD0028,English Grammar Guide,Books,Education,831.75
PROD0029,Bluetooth Headset,Electronics,Headphones,1613.75
PROD0030,Non-Stick Pan,Home,Kitchen,4314.83
PROD0031,Noise Cancelling Headphones,Electronics,Headphones,50623.14
PROD0032,Mystery Novel,Books,Fiction,775.39
PROD0033,  Wall Clock,Home,Decor,7531.26
PROD0034,Women's Kurti,Clothing,Women,1047.36
PROD0035,Wooden Chair,Home,Furniture,705.32
PROD0036,Men's Formal Shirt,Clothing,Men,2437.27
PROD0037,Men's Jacket,Clothing,Men,2250.83
PROD0038,Blender,Home,Kitchen,1609.04
PROD0039,Men's T-Shirt,Clothing,Men,2198.3
PROD0040,Pixel Phone,Electronics,Mobile,41379.61
PROD0041,Noise Cancelling Headphones,Electronics,Headphones,6634.62
PROD0042,Bookshelf,Home,Furniture,3266.21
PROD0043,MEN'S JACKET,Clothing,Men,2363.8
PROD0044,  Over-Ear Headphones,Electronics,Headphones,1407.77
PROD0045,Business Notebook,Electronics,Laptop,16627.6
PROD0046,TABLE LAMP,Home,Decor,9256.95
PROD0047,  Wall Art,Home,Decor,7140.42
PROD0048,budget phone,Electronics,Mobile,23819.05
PROD0049,English Grammar Guide,Books,Education,834.7
PROD0050,usb-c charger,Electronics,Accessories,6287.15
PROD0051,Wall Art,Home,Decor,14219.61
PROD0052,Leather Sandals,Clothing,Footwear,1297.82
PROD0053,Pressure Cooker,Home,Kitchen,1120.67
PROD0054,Noise Cancelling Headphones,Electronics,Headphones,10662.69
PROD0055,Table Lamp,Home,Decor,6174.44
PROD0056,Wireless Earbuds,Electronics,Headphones,32198.36
PROD0057,General Knowledge Book  ,Books,Education,592.15
PROD0058,Python Programming Guide,Books,Technology,831.52
PROD0059,SQL for Beginners,Books,Technology,311.54
PROD0060,Wireless Mouse,Electronics,Accessories,28043.05
PROD0061,USB-C Charger,Electronics,Accessories,24644.72
PROD0062,Laptop Stand,Electronics,Accessories,39779.8
PROD0063,Gaming Laptop,Electronics,Laptop,54243.73
PROD0064,Gaming Laptop,Electronics,Laptop,17844.44
PROD0065,Fantasy Epic,Books,Fiction,383.94
PROD0066,Cutlery Set,Home,Kitchen,8803.5
PROD0067,Romance Story,Books,Fiction,970.11
PROD0068,Wireless Earbuds,Electronics,Headphones,52007.94
PROD0069,Women's Kurti,Clothing,Women,2192.97
PROD0070,AI Fundamentals,Books,Technology,695.24
PROD0071,Fantasy Epic,Books,Fiction,857.99
PROD0072,Blender  ,Home,Kitchen,2144.02
PROD0073,Galaxy Note,Electronics,Mobile,29458.73
PROD0074,mystery novel,Books,Fiction,873.14
PROD0075,Maths Workbook,Books,Education,480.71
PROD0076,sql for beginners,Books,Technology,643.12
PROD0077,Maths Workbook,Books,Education,341.33
PROD0078,Wooden Chair,Home,Furniture,10617.51
PROD0079,Wireless Mouse,Electronics,Accessories,59022.96
PROD0080,Non-Stick Pan,Home,Kitchen,9209.55
PROD0081,Women's Dress,Clothing,Women,1709.75
PROD0082,Wall Clock,Home,Decor,8095.24
PROD0083,Phone Case,Electronics,Accessories,28419.33
PROD0084,Cutlery Set,Home,Kitchen,12003.61
PROD0085,Wooden Chair,Home,Furniture,9024.9
PROD0086,photo frame,Home,Decor,8735.4
PROD0087,  Wireless Earbuds,Electronics,Headphones,8045.87
PROD0088,BLUETOOTH HEADSET,Electronics,Headphones,16875.42
PROD0089,Wooden Chair,Home,Furniture,13665.45
PROD0090,Formal Shoes,Clothing,Footwear,691.12
PROD0091,Women's Jeans,Clothing,Women,2613.64
PROD0092,Study Table,Home,Furniture,12352.6
PROD0093,ai fundamentals,Books,Technology,752.4
PROD0094,MEN'S JACKET,Clothing,Men,2315.36
PROD0095,Galaxy Note,Electronics,Mobile,28835.8
PROD0096,Maths Workbook,Books,Education,734.05
PROD0097,Data Science Handbook,Books,Technology,490.26
PROD0098,Pressure Cooker,Home,Kitchen,14432.18
PROD0099,Pixel Phone,Electronics,Mobile,26191.26
PROD0100,  Cutlery Set,Home,Kitchen,3941.86
PROD0101,Data Science Handbook,Books,Technology,628.85
PROD0102,Leather Sandals,Clothing,Footwear,2981.0
PROD0103,Wall Clock,Home,Decor,12500.59
PROD0104,Wireless Mouse,Electronics,Accessories,41287.22
PROD0105,  Bookshelf,Home,Furniture,501.95
PROD0106,Galaxy Note,Electronics,Mobile,38465.93
PROD0107,Galaxy Note,Electronics,Mobile,45949.54
PROD0108,men's jeans,Clothing,Men,2049.34
PROD0109,Laptop Stand,Electronics,Accessories,41687.18
PROD0110,Blender,Home,Kitchen,4267.72
PROD0111,Phone Case,Electronics,Accessories,4073.49
PROD0112,Sofa Set  ,Home,Furniture,9212.98
PROD0113,Formal Shoes,Clothing,Footwear,2352.38
PROD0114,Running Shoes,Clothing,Footwear,2203.12
PROD0115,SMARTPHONE X,Electronics,Mobile,46745.61
PROD0116,USB-C Charger,Electronics,Accessories,551.62
PROD0117,LAPTOP STAND,Electronics,Accessories,54324.74
PROD0118,Phone Case,Electronics,Accessories,50720.92
PROD0119,UltraBook Pro,Electronics,Laptop,41511.05
PROD0120,Romance Story,Books,Fiction,371.55
PROD0121,Pixel Phone,Electronics,Mobile,57675.07
PROD0122,Laptop Stand,Electronics,Accessories,11008.79
PROD0123,usb-c charger,Electronics,Accessories,53839.41
PROD0124,Non-Stick Pan,Home,Kitchen,6654.06
PROD0125,Men's T-Shirt,Clothing,Men,867.76
PROD0126,Romance Story,Books,Fiction,967.46
PROD0127,Mystery Novel,Books,Fiction,402.95
PROD0128,Wireless Mouse,Electronics,Accessories,27773.04
PROD0129,Casual Sneakers,Clothing,Footwear,303.26
PROD0130,Women's Dress,Clothing,Women,2770.45
PROD0131,  Gaming Laptop,Electronics,Laptop,54327.41
PROD0132,USB-C Charger,Electronics,Accessories,4305.48
PROD0133,Budget Phone,Electronics,Mobile,37129.9
PROD0134,Chromebook,Electronics,Laptop,50235.81
PROD0135,Python Programming Guide,Books,Technology,617.37
PROD0136,Women's Jeans,Clothing,Women,1860.64
PROD0137,wooden chair,Home,Furniture,2645.56
PROD0138,Table Lamp,Home,Decor,13896.28
PROD0139,UltraBook Pro,Electronics,Laptop,38115.58
PROD0140,Mystery Novel,Books,Fiction,171.65
PROD0141,UltraBook Pro,Electronics,Laptop,35826.97
PROD0142,Pressure Cooker,Home,Kitchen,3211.48
PROD0143,Wall Art,Home,Decor,14080.63
PROD0144,Chromebook,Electronics,Laptop,5737.26
PROD0145,Pressure Cooker  ,Home,Kitchen,2999.76
PROD0146,Over-Ear Headphones,Electronics,Headphones,37774.62
PROD0147,Women's Dress  ,Clothing,Women,2118.68
PROD0148,  Data Science Handbook,Books,Technology,147.62
PROD0149,Blender,Home,Kitchen,5114.28
PROD0150,Mystery Novel,Books,Fiction,931.38
PROD0151,Men's T-Shirt,Clothing,Men,524.98
PROD0152,Formal Shoes,Clothing,Footwear,1112.72
PROD0153,  Leather Sandals,Clothing,Footwear,1113.17
PROD0154,Chromebook,Electronics,Laptop,22844.18
PROD0155,Men's Formal Shirt,Clothing,Men,352.15
PROD0156,Fantasy Epic,Books,Fiction,508.49
PROD0157,Data Science Handbook,Books,Technology,273.74
PROD0158,Blender,Home,Kitchen,626.6
PROD0159,over-ear headphones,Electronics,Headphones,27785.45
PROD0160,Women's Jeans,Clothing,Women,1890.18
PROD0161,Casual Sneakers,Clothing,Footwear,1569.8
PROD0162,Formal Shoes,Clothing,Footwear,981.68
PROD0163,maths workbook,Books,Education,620.52
PROD0164,Running Shoes,Clothing,Footwear,323.83
PROD0165,School Atlas,Books,Education,453.89
PROD0166,Phone Case,Electronics,Accessories,45308.18
PROD0167,Fantasy Epic,Books,Fiction,314.16
PROD0168,Budget Phone,Electronics,Mobile,10127.27
PROD0169,School Atlas,Books,Education,516.38
PROD0170,FORMAL SHOES,Clothing,Footwear,1955.07
PROD0171,Budget Phone,Electronics,Mobile,20307.92
PROD0172,Noise Cancelling Headphones,Electronics,Headphones,42034.27
PROD0173,Running Shoes,Clothing,Footwear,1139.95
PROD0174,WIRELESS EARBUDS,Electronics,Headphones,28188.5
PROD0175,Bluetooth Headset,Electronics,Headphones,42439.98
PROD0176,  Men's Jacket,Clothing,Men,2017.31
PROD0177,Casual Sneakers,Clothing,Footwear,2714.21
PROD0178,PYTHON PROGRAMMING GUIDE,Books,Technology,506.17
PROD0179,Laptop Stand,Electronics,Accessories,22404.68
PROD0180,chromebook,Electronics,Laptop,53927.78
PROD0181,  Wooden Chair,Home,Furniture,10501.67
PROD0182,Fantasy Epic,Books,Fiction,663.55
PROD0183,Blender,Home,Kitchen,6388.93
PROD0184,Over-Ear Headphones  ,Electronics,Headphones,50179.38
PROD0185,Cutlery Set,Home,Kitchen,11834.34
PROD0186,General Knowledge Book,Books,Education,609.53
PROD0187,BOOKSHELF,Home,Furniture,14565.25
PROD0188,Business Notebook  ,Electronics,Laptop,37308.5
PROD0189,Leather Sandals  ,Clothing,Footwear,2550.13
PROD0190,MEN'S JEANS,Clothing,Men,1808.67
PROD0191,SQL for Beginners,Books,Technology,735.42
PROD0192,Blender,Home,Kitchen,8167.02
PROD0193,  Leather Sandals,Clothing,Footwear,1332.77
PROD0194,Thriller Book,Books,Fiction,239.45
PROD0195,Photo Frame,Home,Decor,4453.93
PROD0196,Formal Shoes,Clothing,Footwear,514.48
PROD0197,Fantasy Epic,Books,Fiction,204.19
PROD0198,USB-C Charger,Electronics,Accessories,6002.63
PROD0199,Gaming Laptop,Electronics,Laptop,46142.16
PROD0200,Men's T-Shirt,Clothing,Men,1447.28
PROD0201,USB-C Charger,Electronics,Accessories,36388.73
PROD0202,noise cancelling headphones,Electronics,Headphones,22492.98
PROD0203,Bookshelf,Home,Furniture,4725.07
PROD0204,school atlas,Books,Education,766.37
PROD0205,sql for beginners,Books,Technology,754.74
PROD0206,MYSTERY NOVEL,Books,Fiction,526.15
PROD0207,sofa set,Home,Furniture,9636.27
PROD0208,Blender,Home,Kitchen,10697.17
PROD0209,Men's Jeans,Clothing,Men,1010.5
PROD0210,Romance Story,Books,Fiction,372.52
PROD0211,Mystery Novel,Books,Fiction,237.62
PROD0212,WALL ART,Home,Decor,6344.78
PROD0213,MATHS WORKBOOK,Books,Education,542.75
PROD0214,Noise Cancelling Headphones,Electronics,Headphones,52166.58
PROD0215,School Atlas,Books,Education,758.66
PROD0216,Over-Ear Headphones,Electronics,Headphones,9195.16
PROD0217,Maths Workbook,Books,Education,146.6
PROD0218,CUTLERY SET,Home,Kitchen,8014.74
PROD0219,Gaming Laptop,Electronics,Laptop,36126.37
PROD0220,Leather Sandals,Clothing,Footwear,2515.1
PROD0221,Cutlery Set,Home,Kitchen,5371.7
PROD0222,Men's Jeans,Clothing,Men,1244.44
